customerid;order_date;item;quantity;price
10330;30/jun/99;Pogo stick;1;28.00
10101;30/jun/99;Raft;1;58.00
10298;01/jul/99;Skateboard;1;33.00
10101;01/jul/99;Life Vest;4;125.00
10299;06/jul/99;Parachute;1;1250.00
10339;27/jul/99;Umbrella;1;4.50
10449;13/Aug/1999;Unicycle;1;180.79
10439;14/Aug/1999;Ski Poles;2;25.50
10101;18/Aug/1999;Rain Coat;1;18.30
10449;01/Sep/1999;Snow Shoes;1;45.00
10439;18/Sep/1999;Tent;1;88.00
10298;19/Sep/1999;Lantern;2;29.00
10410;28/Oct/1999;Sleeping Bag;1;89.22
10438;01/nov/99;Umbrella;1;6.75
10438;02/nov/99;Pillow;1;8.50
10298;01/Dec/1999;Helmet;1;22.00
10449;15/Dec/1999;Bicycle;1;380.50
10449;22/Dec/1999;Canoe;1;280.00
10101;30/Dec/1999;Hoola Hoop;3;14.75
10330;01/jan/00;Flashlight;4;28.00
10101;02/jan/00;Lantern;1;16.00
10299;18/jan/00;Inflatable Mattress;1;38.00
10438;18/jan/00;Tent;1;79.99
10413;19/jan/00;Lawnchair;4;32.00
10410;30/jan/00;Unicycle;1;192.50
10315;2/Feb/2000;Compass;1;8.00
10449;29/Feb/2000;Flashlight;1;4.50
10101;08/mar/00;Sleeping Bag;2;88.70
10298;18/mar/00;Pocket Knife;1;22.38
10449;19/mar/00;Canoe paddle;2;40.00
10298;01/Apr/2000;Ear Muffs;1;12.50
10330;19/Apr/2000;Shovel;1;16.75
